name,slug,city,district,state,markets,commodities,url,latitude,longitude
Bhopal,bhopal,Bhopal,,Madhya Pradesh,"


Berasia, 


Bhopal",,https://www.kisaanhelpline.com/mandi-list/bhopal,23.258486,77.401989
Ajaygarh,ajaygarh,Ajaygarh,,,,,https://www.kisaanhelpline.com/mandi-list/ajaygarh,,
Anjad,anjad,Anjad,,,,,https://www.kisaanhelpline.com/mandi-list/anjad,,
Badnawar,badnawar,Badnawar,,,,,https://www.kisaanhelpline.com/mandi-list/badnawar,,
Betul,betul,Betul,,Madhya Pradesh,"


Multai, 


Bhensdehi, 


Betul",,https://www.kisaanhelpline.com/mandi-list/betul,21.879747,77.875365
Biaora,biaora,Biaora,,,,,https://www.kisaanhelpline.com/mandi-list/biaora,,
Alwar,alwar,Alwar,,Rajasthan,"


Kherli",,https://www.kisaanhelpline.com/mandi-list/alwar,27.414005,76.617039
Barmer,barmer,Barmer,,,,,https://www.kisaanhelpline.com/mandi-list/barmer,,
Baran,baran,Baran,,Rajasthan,"


Chhabra, 


Baran, 


Samraniyan, 


Nahargarh, 


Anta, 


Atru",,https://www.kisaanhelpline.com/mandi-list/baran,24.920817,76.682198
Bikaner,bikaner,Bikaner,,Rajasthan,"


Sridungargarh",,https://www.kisaanhelpline.com/mandi-list/bikaner,28.015929,73.317137
Balotra,balotra,Balotra,,,,,https://www.kisaanhelpline.com/mandi-list/balotra,,
Chhabra,chhabra,Chhabra,,,,,https://www.kisaanhelpline.com/mandi-list/chhabra,,
Sri Vijaynagar,sri-vijaynagar,Sri Vijaynagar,,,,,https://www.kisaanhelpline.com/mandi-list/sri-vijaynagar,,
Lashkar Gwalior,lashkar-gwalior,Lashkar Gwalior,,,,,https://www.kisaanhelpline.com/mandi-list/lashkar-gwalior,,
Narsinghpur,narsinghpur,Narsinghpur,,Madhya Pradesh,"


Tendukheda, 


Gotegaon, 


Kareli, 


Gadarwada, 


Narsinghpur",,https://www.kisaanhelpline.com/mandi-list/narsinghpur,22.934556,79.086785
Sihora,sihora,Sihora,,,,,https://www.kisaanhelpline.com/mandi-list/sihora,,
Dewas,dewas,Dewas,,Madhya Pradesh,"


Sonkatch, 


Kannod, 


Khategaon, 


Bagli, 


Haatpipliya, 


Dewas, 


Loharda",,https://www.kisaanhelpline.com/mandi-list/dewas,22.80575,76.294041
Harda,harda,Harda,,Madhya Pradesh,"


Khirakiya, 


Sirali, 


Harda, 


Timarni",,https://www.kisaanhelpline.com/mandi-list/harda,22.242797,77.117917
Burhanpur,burhanpur,Burhanpur,,Madhya Pradesh,"
, 


Burhanpur",,https://www.kisaanhelpline.com/mandi-list/burhanpur,21.334867,76.37088
Chhindwara,chhindwara,Chhindwara,,Madhya Pradesh,"


Pandhurna, 


Chaurai, 


Chhindwara",,https://www.kisaanhelpline.com/mandi-list/chhindwara,22.20719,78.798833
Damoh,damoh,Damoh,,Madhya Pradesh,"


Damoh, 


Patharia, 


Javera",,https://www.kisaanhelpline.com/mandi-list/damoh,23.798101,79.541936
Binaganj,binaganj,Binaganj,,,,,https://www.kisaanhelpline.com/mandi-list/binaganj,,
Dindori,dindori,Dindori,,Madhya Pradesh,"


Dindori, 


Gorakhpur",,https://www.kisaanhelpline.com/mandi-list/dindori,22.907087,80.884692
Ganj Basoda Mandi (Vidisha),ganj-basoda-mandi-vidisha,Ganj Basoda Mandi (Vidisha),,,,,https://www.kisaanhelpline.com/mandi-list/ganj-basoda-mandi-vidisha,,
Tikamgarh,tikamgarh,Tikamgarh,,Madhya Pradesh,"


Tikamgarh, 


Palera",,https://www.kisaanhelpline.com/mandi-list/tikamgarh,24.85521,79.047255
Jabalpur,jabalpur,Jabalpur,,Madhya Pradesh,"


Sehora, 


Paatan, 


Jabalpur",,https://www.kisaanhelpline.com/mandi-list/jabalpur,23.170152,79.932451
Singrauli,singrauli,Singrauli,,,,,https://www.kisaanhelpline.com/mandi-list/singrauli,,
Sidhi,sidhi,Sidhi,,Madhya Pradesh,"


Sidhi",,https://www.kisaanhelpline.com/mandi-list/sidhi,24.211269,81.700041
Shivpuri,shivpuri,Shivpuri,,Madhya Pradesh,"


Shivpuri, 


Badarwas, 


Khanyadhana, 


Pichhour, 


Pohari, 


Barad, 


Karera, 


Khatora, 


Magroni, 


Kolaras",,https://www.kisaanhelpline.com/mandi-list/shivpuri,25.374122,77.827887
Sendhwa,sendhwa,Sendhwa,,,,,https://www.kisaanhelpline.com/mandi-list/sendhwa,,
Shadora,shadora,Shadora,,,,,https://www.kisaanhelpline.com/mandi-list/shadora,,
Bichhiya,bichhiya,Bichhiya,,,,,https://www.kisaanhelpline.com/mandi-list/bichhiya,,
Sagar,sagar,Sagar,,Madhya Pradesh,"


Banda, 


Bina, 


Rehli, 


Shahagarh, 


Garhakota, 


Deori, 


Bamora, 


Jaisinagar, 


Khurai, 


Rahatgarh",,https://www.kisaanhelpline.com/mandi-list/sagar,23.808308,78.758254
Jobat,jobat,Jobat,,,,,https://www.kisaanhelpline.com/mandi-list/jobat,,
katni,katni,katni,,Madhya Pradesh,"


Katni",,https://www.kisaanhelpline.com/mandi-list/katni,23.717639,80.261018
Khandwa,khandwa,Khandwa,,Madhya Pradesh,"


Mundi, 


Harsood, 


Pandhana, 


Khandwa",,https://www.kisaanhelpline.com/mandi-list/khandwa,21.976978,76.567534
Khategaon,khategaon,Khategaon,,,,,https://www.kisaanhelpline.com/mandi-list/khategaon,,
Kukshi,kukshi,Kukshi,,,,,https://www.kisaanhelpline.com/mandi-list/kukshi,,
Hoshangabad,hoshangabad,Hoshangabad,,Madhya Pradesh,"


Semriharchand, 


Banapura, 


Bankhedi, 


Hoshangabad, 


Itarsi, 


Pipariya, 


Babai",,https://www.kisaanhelpline.com/mandi-list/hoshangabad,22.754554,77.719825
Nasrullaganj,nasrullaganj,Nasrullaganj,,,,,https://www.kisaanhelpline.com/mandi-list/nasrullaganj,,
Pachore,pachore,Pachore,,,,,https://www.kisaanhelpline.com/mandi-list/pachore,,
Pipariya,pipariya,Pipariya,,,,,https://www.kisaanhelpline.com/mandi-list/pipariya,,
Raisen,raisen,Raisen,,Madhya Pradesh,"


Obedullaganj, 


Raisen, 


Gairatganj, 


Begamganj, 


Udaipura, 


Silvani, 


Bareli",,https://www.kisaanhelpline.com/mandi-list/raisen,23.267591,78.172713
Sanawad,sanawad,Sanawad,,,,,https://www.kisaanhelpline.com/mandi-list/sanawad,,
Segaon,segaon,Segaon,,,,,https://www.kisaanhelpline.com/mandi-list/segaon,,
Chirawa,chirawa,Chirawa,,,,,https://www.kisaanhelpline.com/mandi-list/chirawa,,
Chitaurgarh,chitaurgarh,Chitaurgarh,,,,,https://www.kisaanhelpline.com/mandi-list/chitaurgarh,,
Dungarpur,dungarpur,Dungarpur,,,,,https://www.kisaanhelpline.com/mandi-list/dungarpur,,
Goluwala,goluwala,Goluwala,,,"
",,https://www.kisaanhelpline.com/mandi-list/goluwala,,
Sumerpur,sumerpur,Sumerpur,,,,,https://www.kisaanhelpline.com/mandi-list/sumerpur,,
Narela,narela,Narela,,,,,https://www.kisaanhelpline.com/mandi-list/narela,,
Jaisalmer,jaisalmer,Jaisalmer,,Rajasthan,"


Jaisalmer",,https://www.kisaanhelpline.com/mandi-list/jaisalmer,26.911662,70.912489
Jalore,jalore,Jalore,,Rajasthan,"


Bhinmal, 


Jalore",,https://www.kisaanhelpline.com/mandi-list/jalore,25.209348,72.317889
kota,kota,kota,,Rajasthan,"


Itawa, 


Khatauli, 


Ramganjmandi",,https://www.kisaanhelpline.com/mandi-list/kota,25.173702,75.857419
Udhampur,udhampur,Udhampur,,Jammu and Kashmir,"


Udhampur",,https://www.kisaanhelpline.com/mandi-list/udhampur,32.921973,75.133148
Pune,pune,Pune,,Maharashtra,"


Pune, 


Indapur, 


Baramati",,https://www.kisaanhelpline.com/mandi-list/pune,18.521374,73.854507
Canacona,canacona,Canacona,,Goa,,,https://www.kisaanhelpline.com/mandi-list/canacona,15.006907,74.057064
Mapusa,mapusa,Mapusa,,,,,https://www.kisaanhelpline.com/mandi-list/mapusa,,
Ponda,ponda,Ponda,,,,,https://www.kisaanhelpline.com/mandi-list/ponda,,
Solapur,solapur,Solapur,,,,,https://www.kisaanhelpline.com/mandi-list/solapur,,
Akola,akola,Akola,,Maharashtra,"


Akola, 


Murtizapur",,https://www.kisaanhelpline.com/mandi-list/akola,20.761812,77.192116
Ahmednagar,ahmednagar,Ahmednagar,,Maharashtra,"


Sangamner, 


Jamkhed, 


Pathardi, 


Rahuri, 


Kopargaon",,https://www.kisaanhelpline.com/mandi-list/ahmednagar,19.162772,74.858024
Nagpur,nagpur,Nagpur,,Maharashtra,"


Savner, 


Nagpur, 


Kamthi, 


Kalmeshwar, 


Ramtek, 


Katol, 


Umared, 


Hingna",,https://www.kisaanhelpline.com/mandi-list/nagpur,21.149813,79.082056
Kolhapur,kolhapur,Kolhapur,,Maharashtra,"


Vadgaonpeth, 


Kolhapur",,https://www.kisaanhelpline.com/mandi-list/kolhapur,16.702841,74.240533
Ahmedpur,ahmedpur,Ahmedpur,,,,,https://www.kisaanhelpline.com/mandi-list/ahmedpur,,
Jatani,jatani,Jatani,,,,,https://www.kisaanhelpline.com/mandi-list/jatani,,
Gunupur,gunupur,Gunupur,,,,,https://www.kisaanhelpline.com/mandi-list/gunupur,,
Sujangarh,sujangarh,Sujangarh,,,,,https://www.kisaanhelpline.com/mandi-list/sujangarh,,
Merta City,merta-city,Merta City,,,,,https://www.kisaanhelpline.com/mandi-list/merta-city,,
Nimbahera,nimbahera,Nimbahera,,,,,https://www.kisaanhelpline.com/mandi-list/nimbahera,,
Phalodi,phalodi,Phalodi,,,,,https://www.kisaanhelpline.com/mandi-list/phalodi,,
Pali Marwar,pali-marwar,Pali Marwar,,,,,https://www.kisaanhelpline.com/mandi-list/pali-marwar,,
Pilibanga,pilibanga,Pilibanga,,,,,https://www.kisaanhelpline.com/mandi-list/pilibanga,,
Ramganj,ramganj,Ramganj,,,,,https://www.kisaanhelpline.com/mandi-list/ramganj,,
Sangaria,sangaria,Sangaria,,,,,https://www.kisaanhelpline.com/mandi-list/sangaria,,
Sangod,sangod,Sangod,,,,,https://www.kisaanhelpline.com/mandi-list/sangod,,
Sawai Madhopur,sawai-madhopur,Sawai Madhopur,,,,,https://www.kisaanhelpline.com/mandi-list/sawai-madhopur,,
Sojat,sojat,Sojat,,,,,https://www.kisaanhelpline.com/mandi-list/sojat,,
Sojat Road,sojat-road,Sojat Road,,,,,https://www.kisaanhelpline.com/mandi-list/sojat-road,,
Dhubri,dhubri,Dhubri,,Assam,"


Dhubri, 


Gauripur",,https://www.kisaanhelpline.com/mandi-list/dhubri,26.132275,90.124996
Goreswar,goreswar,Goreswar,,,,,https://www.kisaanhelpline.com/mandi-list/goreswar,,
Karimganj,karimganj,Karimganj,,,,,https://www.kisaanhelpline.com/mandi-list/karimganj,,
Bokaro,bokaro,Bokaro,,,,,https://www.kisaanhelpline.com/mandi-list/bokaro,,
Chaibasa,chaibasa,Chaibasa,,,,,https://www.kisaanhelpline.com/mandi-list/chaibasa,,
Dhanbad,dhanbad,Dhanbad,,,,,https://www.kisaanhelpline.com/mandi-list/dhanbad,,
Jamshedpur,jamshedpur,Jamshedpur,,,,,https://www.kisaanhelpline.com/mandi-list/jamshedpur,,
Ramgarh,ramgarh,Ramgarh,,,,,https://www.kisaanhelpline.com/mandi-list/ramgarh,,
Arni,arni,Arni,,,,,https://www.kisaanhelpline.com/mandi-list/arni,,
Aheri,aheri,Aheri,,,,,https://www.kisaanhelpline.com/mandi-list/aheri,,
Akkalkuwa,akkalkuwa,Akkalkuwa,,,,,https://www.kisaanhelpline.com/mandi-list/akkalkuwa,,
Akkalkot,akkalkot,Akkalkot,,,,,https://www.kisaanhelpline.com/mandi-list/akkalkot,,
Shirpur,shirpur,Shirpur,,,,,https://www.kisaanhelpline.com/mandi-list/shirpur,,
Atpadi,atpadi,Atpadi,,,,,https://www.kisaanhelpline.com/mandi-list/atpadi,,
Akluj,akluj,Akluj,,,,,https://www.kisaanhelpline.com/mandi-list/akluj,,
Akole,akole,Akole,,,,,https://www.kisaanhelpline.com/mandi-list/akole,,
Akot,akot,Akot,,,,,https://www.kisaanhelpline.com/mandi-list/akot,,
Alibag,alibag,Alibag,,,,,https://www.kisaanhelpline.com/mandi-list/alibag,,
Amalner,amalner,Amalner,,,,,https://www.kisaanhelpline.com/mandi-list/amalner,,
Ambad,ambad,Ambad,,,,,https://www.kisaanhelpline.com/mandi-list/ambad,,
Amravati,amravati,Amravati,,,,,https://www.kisaanhelpline.com/mandi-list/amravati,,
Akhada Balapur,akhada-balapur,Akhada Balapur,,,,,https://www.kisaanhelpline.com/mandi-list/akhada-balapur,,
Curchorem,curchorem,Curchorem,,Goa,,,https://www.kisaanhelpline.com/mandi-list/curchorem,15.261738,74.108276
Panaji,panaji,Panaji,,goa,,,https://www.kisaanhelpline.com/mandi-list/panaji,15.498995,73.828214
Ashta,ashta,Ashta,,,,,https://www.kisaanhelpline.com/mandi-list/ashta,,
Khirkiya,khirkiya,Khirkiya,,,,,https://www.kisaanhelpline.com/mandi-list/khirkiya,,
Baharihat,baharihat,Baharihat,,,,,https://www.kisaanhelpline.com/mandi-list/baharihat,,
Bongaigaon,bongaigaon,Bongaigaon,,,,,https://www.kisaanhelpline.com/mandi-list/bongaigaon,,
Dibrugarh,dibrugarh,Dibrugarh,,,,,https://www.kisaanhelpline.com/mandi-list/dibrugarh,,
Goalpara,goalpara,Goalpara,,Assam,"


Goalpara",,https://www.kisaanhelpline.com/mandi-list/goalpara,26.049188,90.600186
Golaghat,golaghat,Golaghat,,,,,https://www.kisaanhelpline.com/mandi-list/golaghat,,
Hailakandi,hailakandi,Hailakandi,,,,,https://www.kisaanhelpline.com/mandi-list/hailakandi,,
Howly,howly,Howly,,,,,https://www.kisaanhelpline.com/mandi-list/howly,,
Jorhat,jorhat,Jorhat,,,,,https://www.kisaanhelpline.com/mandi-list/jorhat,,
Kharupetia,kharupetia,Kharupetia,,,,,https://www.kisaanhelpline.com/mandi-list/kharupetia,,
Lanka,lanka,Lanka,,,,,https://www.kisaanhelpline.com/mandi-list/lanka,,
Nagaon,nagaon,Nagaon,,Assam,"


Doomdumia, 


Dhing, 


Haibargaon, 


Ambagan",,https://www.kisaanhelpline.com/mandi-list/nagaon,26.331365,92.752476
Nalbari,nalbari,Nalbari,,Assam,"


Nalbari",,https://www.kisaanhelpline.com/mandi-list/nalbari,26.353363,91.398366
Silchar,silchar,Silchar,,,,,https://www.kisaanhelpline.com/mandi-list/silchar,,
Tezpur,tezpur,Tezpur,,,,,https://www.kisaanhelpline.com/mandi-list/tezpur,,
Achanta,achanta,Achanta,,,,,https://www.kisaanhelpline.com/mandi-list/achanta,,
Addanki,addanki,Addanki,,,,,https://www.kisaanhelpline.com/mandi-list/addanki,,
Adoni,adoni,Adoni,,,,,https://www.kisaanhelpline.com/mandi-list/adoni,,
Akividu,akividu,Akividu,,,,,https://www.kisaanhelpline.com/mandi-list/akividu,,
Alamuru,alamuru,Alamuru,,,,,https://www.kisaanhelpline.com/mandi-list/alamuru,,
Aluru,aluru,Aluru,,,,,https://www.kisaanhelpline.com/mandi-list/aluru,,
Amudalavalasa,amudalavalasa,Amudalavalasa,,,,,https://www.kisaanhelpline.com/mandi-list/amudalavalasa,,
Ambajipeta,ambajipeta,Ambajipeta,,,,,https://www.kisaanhelpline.com/mandi-list/ambajipeta,,
Anakapalli,anakapalli,Anakapalli,,,,,https://www.kisaanhelpline.com/mandi-list/anakapalli,,
Anantapur,anantapur,Anantapur,,Andhra Pradesh,"


Anantapur",,https://www.kisaanhelpline.com/mandi-list/anantapur,14.72422,77.430674
Anaparthy,anaparthy,Anaparthy,,,,,https://www.kisaanhelpline.com/mandi-list/anaparthy,,
Atmakur,atmakur,Atmakur,,,,,https://www.kisaanhelpline.com/mandi-list/atmakur,,
Avanigadda,avanigadda,Avanigadda,,,,,https://www.kisaanhelpline.com/mandi-list/avanigadda,,
Bapatla,bapatla,Bapatla,,,,,https://www.kisaanhelpline.com/mandi-list/bapatla,,
Bhimadole,bhimadole,Bhimadole,,,,,https://www.kisaanhelpline.com/mandi-list/bhimadole,,
Chirala,chirala,Chirala,,,,,https://www.kisaanhelpline.com/mandi-list/chirala,,
Chittoor,chittoor,Chittoor,,,,,https://www.kisaanhelpline.com/mandi-list/chittoor,,
Chodavaram,chodavaram,Chodavaram,,,,,https://www.kisaanhelpline.com/mandi-list/chodavaram,,
Cumbum,cumbum,Cumbum,,,,,https://www.kisaanhelpline.com/mandi-list/cumbum,,
Darsi,darsi,Darsi,,,,,https://www.kisaanhelpline.com/mandi-list/darsi,,
Dharmavaram,dharmavaram,Dharmavaram,,,,,https://www.kisaanhelpline.com/mandi-list/dharmavaram,,
Denduluru,denduluru,Denduluru,,,,,https://www.kisaanhelpline.com/mandi-list/denduluru,,
Dhone,dhone,Dhone,,,,,https://www.kisaanhelpline.com/mandi-list/dhone,,
Duggirala,duggirala,Duggirala,,,,,https://www.kisaanhelpline.com/mandi-list/duggirala,,
Eluru,eluru,Eluru,,,,,https://www.kisaanhelpline.com/mandi-list/eluru,,
Gajapathinagaram,gajapathinagaram,Gajapathinagaram,,,,,https://www.kisaanhelpline.com/mandi-list/gajapathinagaram,,
Gannavaram,gannavaram,Gannavaram,,,,,https://www.kisaanhelpline.com/mandi-list/gannavaram,,
Pasighat,pasighat,Pasighat,,,,,https://www.kisaanhelpline.com/mandi-list/pasighat,,
Roing,roing,Roing,,,,,https://www.kisaanhelpline.com/mandi-list/roing,,
Tawang,tawang,Tawang,,,,,https://www.kisaanhelpline.com/mandi-list/tawang,,
Tezu,tezu,Tezu,,,,,https://www.kisaanhelpline.com/mandi-list/tezu,,
Ziro,ziro,Ziro,,,,,https://www.kisaanhelpline.com/mandi-list/ziro,,
Giddaluru,giddaluru,Giddaluru,,,,,https://www.kisaanhelpline.com/mandi-list/giddaluru,,
Gooty,gooty,Gooty,,,,,https://www.kisaanhelpline.com/mandi-list/gooty,,
Derol,derol,Derol,,,,,https://www.kisaanhelpline.com/mandi-list/derol,,
Ahmdabad,ahmdabad,Ahmdabad,,,,,https://www.kisaanhelpline.com/mandi-list/ahmdabad,,
Amod,amod,Amod,,,,,https://www.kisaanhelpline.com/mandi-list/amod,,
Amreli,amreli,Amreli,,Gujarat,"


Dhari, 


Rajula, 


Savarkundla, 


Babra, 


Damnagar, 
, 


Bagasara",,https://www.kisaanhelpline.com/mandi-list/amreli,21.417612,71.249609
Anand,anand,Anand,,Gujarat,"


Borsad, 


Tarapur",,https://www.kisaanhelpline.com/mandi-list/anand,22.558656,72.962723
Anjar,anjar,Anjar,,,,,https://www.kisaanhelpline.com/mandi-list/anjar,,
Anklav,anklav,Anklav,,,,,https://www.kisaanhelpline.com/mandi-list/anklav,,
ankleshwar,ankleshwar,ankleshwar,,,,,https://www.kisaanhelpline.com/mandi-list/ankleshwar,,
Babra,babra,Babra,,,,,https://www.kisaanhelpline.com/mandi-list/babra,,
Bagasara,bagasara,Bagasara,,,,,https://www.kisaanhelpline.com/mandi-list/bagasara,,
Balasinor,balasinor,Balasinor,,,,,https://www.kisaanhelpline.com/mandi-list/balasinor,,
Bardoli,bardoli,Bardoli,,,,,https://www.kisaanhelpline.com/mandi-list/bardoli,,
Bharuch,bharuch,Bharuch,,Gujarat,"


Bharuch, 


Ankleshwar",,https://www.kisaanhelpline.com/mandi-list/bharuch,21.708043,72.995694
Bavla,bavla,Bavla,,,,,https://www.kisaanhelpline.com/mandi-list/bavla,,
Bayad,bayad,Bayad,,,,,https://www.kisaanhelpline.com/mandi-list/bayad,,
Becharaji,becharaji,Becharaji,,,,,https://www.kisaanhelpline.com/mandi-list/becharaji,,
Gopalapuram,gopalapuram,Gopalapuram,,,,,https://www.kisaanhelpline.com/mandi-list/gopalapuram,,
Bhabhar,bhabhar,Bhabhar,,,,,https://www.kisaanhelpline.com/mandi-list/bhabhar,,
Gudivada,gudivada,Gudivada,,,,,https://www.kisaanhelpline.com/mandi-list/gudivada,,
bhanvad,bhanvad,bhanvad,,,,,https://www.kisaanhelpline.com/mandi-list/bhanvad,,
BHAVNAGAR,bhavnagar,BHAVNAGAR,,Gujarat,"
, 


Palitana, 


Taleja, 


Bhavnagar",,https://www.kisaanhelpline.com/mandi-list/bhavnagar,21.771884,72.141645
Gudur,gudur,Gudur,,,,,https://www.kisaanhelpline.com/mandi-list/gudur,,
Guntur,guntur,Guntur,,Andhra Pradesh,"


Guntur, 


Tenali",,https://www.kisaanhelpline.com/mandi-list/guntur,16.291519,80.454159
Bhesan,bhesan,Bhesan,,,,,https://www.kisaanhelpline.com/mandi-list/bhesan,,
Bhiloda,bhiloda,Bhiloda,,,,,https://www.kisaanhelpline.com/mandi-list/bhiloda,,
BHUJ,bhuj,BHUJ,,,,,https://www.kisaanhelpline.com/mandi-list/bhuj,,
BILIMORA,bilimora,BILIMORA,,,,,https://www.kisaanhelpline.com/mandi-list/bilimora,,
BODELI,bodeli,BODELI,,,,,https://www.kisaanhelpline.com/mandi-list/bodeli,,
dahod,dahod,dahod,,Gujarat,"


Dahod",,https://www.kisaanhelpline.com/mandi-list/dahod,22.91941,74.134272
Deesa,deesa,Deesa,,,,,https://www.kisaanhelpline.com/mandi-list/deesa,,
dehgam,dehgam,dehgam,,,,,https://www.kisaanhelpline.com/mandi-list/dehgam,,
DAMNAGAR,damnagar,DAMNAGAR,,,,,https://www.kisaanhelpline.com/mandi-list/damnagar,,
DHANERA,dhanera,DHANERA,,,,,https://www.kisaanhelpline.com/mandi-list/dhanera,,
Dhansura,dhansura,Dhansura,,,,,https://www.kisaanhelpline.com/mandi-list/dhansura,,
DHARAMPUR,dharampur,DHARAMPUR,,,,,https://www.kisaanhelpline.com/mandi-list/dharampur,,
dhari,dhari,dhari,,,,,https://www.kisaanhelpline.com/mandi-list/dhari,,
dhoraji,dhoraji,dhoraji,,,,,https://www.kisaanhelpline.com/mandi-list/dhoraji,,
Hindupur,hindupur,Hindupur,,,,,https://www.kisaanhelpline.com/mandi-list/hindupur,,
Kalol,kalol,Kalol,,,,,https://www.kisaanhelpline.com/mandi-list/kalol,,
DHROL,dhrol,DHROL,,,,,https://www.kisaanhelpline.com/mandi-list/dhrol,,
ghoghamba,ghoghamba,ghoghamba,,,,,https://www.kisaanhelpline.com/mandi-list/ghoghamba,,
GODHRA,godhra,GODHRA,,,,,https://www.kisaanhelpline.com/mandi-list/godhra,,
gondal,gondal,gondal,,,,,https://www.kisaanhelpline.com/mandi-list/gondal,,
Halol,halol,Halol,,,,,https://www.kisaanhelpline.com/mandi-list/halol,,
Halvad,halvad,Halvad,,,,,https://www.kisaanhelpline.com/mandi-list/halvad,,
hansot,hansot,hansot,,,,,https://www.kisaanhelpline.com/mandi-list/hansot,,
Himatnagar,himatnagar,Himatnagar,,,,,https://www.kisaanhelpline.com/mandi-list/himatnagar,,
IDAR,idar,IDAR,,,,,https://www.kisaanhelpline.com/mandi-list/idar,,
Iqbalgadh,iqbalgadh,Iqbalgadh,,,,,https://www.kisaanhelpline.com/mandi-list/iqbalgadh,,
Jagadia,jagadia,Jagadia,,,,,https://www.kisaanhelpline.com/mandi-list/jagadia,,
Jhalod,jhalod,Jhalod,,,,,https://www.kisaanhelpline.com/mandi-list/jhalod,,
Jamkandorna,jamkandorna,Jamkandorna,,,,,https://www.kisaanhelpline.com/mandi-list/jamkandorna,,
JamKhambhalia,jamkhambhalia,JamKhambhalia,,,,,https://www.kisaanhelpline.com/mandi-list/jamkhambhalia,,
Jamjodhpur,jamjodhpur,Jamjodhpur,,,,,https://www.kisaanhelpline.com/mandi-list/jamjodhpur,,
Jamnagar,jamnagar,Jamnagar,,Gujarat,"


Kalawad, 


Jamnagar",,https://www.kisaanhelpline.com/mandi-list/jamnagar,22.473242,70.05521
Jasdan,jasdan,Jasdan,,,,,https://www.kisaanhelpline.com/mandi-list/jasdan,,
jetpurpavi,jetpurpavi,jetpurpavi,,,,,https://www.kisaanhelpline.com/mandi-list/jetpurpavi,,
badanpar,badanpar,badanpar,,,,,https://www.kisaanhelpline.com/mandi-list/badanpar,,
Junagadh,junagadh,Junagadh,,,,,https://www.kisaanhelpline.com/mandi-list/junagadh,,
KADI,kadi,KADI,,,,,https://www.kisaanhelpline.com/mandi-list/kadi,,
Kalavad,kalavad,Kalavad,,,,,https://www.kisaanhelpline.com/mandi-list/kalavad,,
Kapadvanj,kapadvanj,Kapadvanj,,,,,https://www.kisaanhelpline.com/mandi-list/kapadvanj,,
karjan,karjan,karjan,,,,,https://www.kisaanhelpline.com/mandi-list/karjan,,
kathlal,kathlal,kathlal,,,,,https://www.kisaanhelpline.com/mandi-list/kathlal,,
Kawant,kawant,Kawant,,,,,https://www.kisaanhelpline.com/mandi-list/kawant,,
khambha,khambha,khambha,,,,,https://www.kisaanhelpline.com/mandi-list/khambha,,
MANDVI KUTCH,mandvi-kutch,MANDVI KUTCH,,,,,https://www.kisaanhelpline.com/mandi-list/mandvi-kutch,,
Mehsana,mehsana,Mehsana,,Gujarat,"


Kadi, 


Visnagar, 


Unjha, 


Mehsana, 


Unava",,https://www.kisaanhelpline.com/mandi-list/mehsana,23.601263,72.374152
PATDI,patdi,PATDI,,,,,https://www.kisaanhelpline.com/mandi-list/patdi,,
