name,slug,city,district,state,markets,commodities,url,latitude,longitude
Hapur,hapur,Hapur,Hapur,Uttar Pradesh,Hapur APMC,Wheat Potato,https://www.kisaanhelpline.com/mandi-list/hapur,28.73,77.78
Jaipur,jaipur,Jaipur,Jaipur,Rajasthan,Jaipur APMC,Wheat Mustard Cumin,https://www.kisaanhelpline.com/mandi-list/jaipur,26.9124,75.7873
Jodhpur,jodhpur,Jodhpur,Jodhpur,Rajasthan,Jodhpur APMC,Cumin Wheat Bajra,https://www.kisaanhelpline.com/mandi-list/jodhpur,26.2389,73.0243
Udaipur,udaipur,Udaipur,Udaipur,Rajasthan,Udaipur APMC,Wheat Maize,https://www.kisaanhelpline.com/mandi-list/udaipur,24.5854,73.7125
Kota,kota,Kota,Kota,Rajasthan,Kota APMC,Wheat Soybean Coriander,https://www.kisaanhelpline.com/mandi-list/kota,25.2138,75.8648
Bikaner,bikaner,Bikaner,Bikaner,Rajasthan,Bikaner APMC,Cumin Mustard Wheat,https://www.kisaanhelpline.com/mandi-list/bikaner,28.0229,73.3119
Ajmer,ajmer,Ajmer,Ajmer,Rajasthan,Ajmer APMC,Wheat Cumin,https://www.kisaanhelpline.com/mandi-list/ajmer,26.4499,74.6399
Alwar,alwar,Alwar,Alwar,Rajasthan,Alwar APMC,Wheat Mustard,https://www.kisaanhelpline.com/mandi-list/alwar,27.553,76.6346
Bharatpur,bharatpur,Bharatpur,Bharatpur,Rajasthan,Bharatpur APMC,Wheat Mustard,https://www.kisaanhelpline.com/mandi-list/bharatpur,27.2152,77.503
Bhilwara,bhilwara,Bhilwara,Bhilwara,Rajasthan,Bhilwara APMC,Wheat Maize,https://www.kisaanhelpline.com/mandi-list/bhilwara,25.3573,74.6313
Sikar,sikar,Sikar,Sikar,Rajasthan,Sikar APMC,Wheat Bajra,https://www.kisaanhelpline.com/mandi-list/sikar,27.61,75.14
Pali,pali,Pali,Pali,Rajasthan,Pali APMC,Wheat Cumin,https://www.kisaanhelpline.com/mandi-list/pali,25.7715,73.3233
Sri Ganganagar,sriganganagar,Sri Ganganagar,Sri Ganganagar,Rajasthan,Sri Ganganagar APMC,Wheat Cotton Guar,https://www.kisaanhelpline.com/mandi-list/sriganganagar,29.9094,73.878
Chittorgarh,chittorgarh,Chittorgarh,Chittorgarh,Rajasthan,Chittorgarh APMC,Wheat Soybean,https://www.kisaanhelpline.com/mandi-list/chittorgarh,24.8887,74.6269
Nagaur,nagaur,Nagaur,Nagaur,Rajasthan,Nagaur APMC,Wheat Cumin Bajra,https://www.kisaanhelpline.com/mandi-list/nagaur,27.202,73.734
Baran,baran,Baran,Baran,Rajasthan,Baran APMC,Wheat Soybean Coriander,https://www.kisaanhelpline.com/mandi-list/baran,25.1,76.5
Jaisalmer,jaisalmer,Jaisalmer,Jaisalmer,Rajasthan,Jaisalmer APMC,Cumin Guar,https://www.kisaanhelpline.com/mandi-list/jaisalmer,26.9157,70.9083
Jalore,jalore,Jalore,Jalore,Rajasthan,Jalore APMC,Cumin Wheat,https://www.kisaanhelpline.com/mandi-list/jalore,25.35,72.62
Barmer,barmer,Barmer,Barmer,Rajasthan,Barmer APMC,Cumin Guar Bajra,https://www.kisaanhelpline.com/mandi-list/barmer,25.75,71.3833
Bundi,bundi,Bundi,Bundi,Rajasthan,Bundi APMC,Wheat Coriander,https://www.kisaanhelpline.com/mandi-list/bundi,25.4305,75.64
Dungarpur,dungarpur,Dungarpur,Dungarpur,Rajasthan,Dungarpur APMC,Wheat Maize,https://www.kisaanhelpline.com/mandi-list/dungarpur,23.84,73.71
Ludhiana,ludhiana,Ludhiana,Ludhiana,Punjab,Ludhiana Grain Market,Wheat Rice Maize,https://www.kisaanhelpline.com/mandi-list/ludhiana,30.901,75.8573
Amritsar,amritsar,Amritsar,Amritsar,Punjab,Amritsar APMC,Wheat Rice,https://www.kisaanhelpline.com/mandi-list/amritsar,31.634,74.8723
Jalandhar,jalandhar,Jalandhar,Jalandhar,Punjab,Jalandhar APMC,Wheat Rice,https://www.kisaanhelpline.com/mandi-list/jalandhar,31.326,75.5762
Patiala,patiala,Patiala,Patiala,Punjab,Patiala APMC,Wheat Rice,https://www.kisaanhelpline.com/mandi-list/patiala,30.3398,76.3869
Bathinda,bathinda,Bathinda,Bathinda,Punjab,Bathinda APMC,Wheat Cotton,https://www.kisaanhelpline.com/mandi-list/bathinda,30.211,74.9455
Moga,moga,Moga,Moga,Punjab,Moga APMC,Wheat Rice,https://www.kisaanhelpline.com/mandi-list/moga,30.82,75.17
Ferozepur,ferozepur,Ferozepur,Ferozepur,Punjab,Ferozepur APMC,Wheat Rice,https://www.kisaanhelpline.com/mandi-list/ferozepur,30.93,74.62
Sangrur,sangrur,Sangrur,Sangrur,Punjab,Sangrur APMC,Wheat Rice,https://www.kisaanhelpline.com/mandi-list/sangrur,30.2333,75.85
Hoshiarpur,hoshiarpur,Hoshiarpur,Hoshiarpur,Punjab,Hoshiarpur APMC,Wheat Rice,https://www.kisaanhelpline.com/mandi-list/hoshiarpur,31.531,75.9113
Kapurthala,kapurthala,Kapurthala,Kapurthala,Punjab,Kapurthala APMC,Wheat Rice,https://www.kisaanhelpline.com/mandi-list/kapurthala,31.38,75.38
Karnal,karnal,Karnal,Karnal,Haryana,Karnal APMC,Wheat Rice Basmati,https://www.kisaanhelpline.com/mandi-list/karnal,29.6857,76.9905
Hisar,hisar,Hisar,Hisar,Haryana,Hisar APMC,Wheat Cotton Mustard,https://www.kisaanhelpline.com/mandi-list/hisar,29.1492,75.7217
Panipat,panipat,Panipat,Panipat,Haryana,Panipat APMC,Wheat Rice,https://www.kisaanhelpline.com/mandi-list/panipat,29.3909,76.9635
Sirsa,sirsa,Sirsa,Sirsa,Haryana,Sirsa APMC,Cotton Wheat,https://www.kisaanhelpline.com/mandi-list/sirsa,29.54,75.03
Sonipat,sonipat,Sonipat,Sonipat,Haryana,Sonipat APMC,Wheat Rice,https://www.kisaanhelpline.com/mandi-list/sonipat,28.9288,77.0913
Ambala,ambala,Ambala,Ambala,Haryana,Ambala APMC,Wheat Rice,https://www.kisaanhelpline.com/mandi-list/ambala,30.3782,76.7767
Rohtak,rohtak,Rohtak,Rohtak,Haryana,Rohtak APMC,Wheat Bajra,https://www.kisaanhelpline.com/mandi-list/rohtak,28.8955,76.5893
Bhiwani,bhiwani,Bhiwani,Bhiwani,Haryana,Bhiwani APMC,Wheat Bajra Cotton,https://www.kisaanhelpline.com/mandi-list/bhiwani,28.7833,76.1333
Jind,jind,Jind,Jind,Haryana,Jind APMC,Wheat Rice,https://www.kisaanhelpline.com/mandi-list/jind,29.3167,76.3167
Kurukshetra,kurukshetra,Kurukshetra,Kurukshetra,Haryana,Kurukshetra APMC,Wheat Rice Basmati,https://www.kisaanhelpline.com/mandi-list/kurukshetra,29.9667,76.8333
Kaithal,kaithal,Kaithal,Kaithal,Haryana,Kaithal APMC,Wheat Rice,https://www.kisaanhelpline.com/mandi-list/kaithal,29.8,76.4
Fatehabad,fatehabad,Fatehabad,Fatehabad,Haryana,Fatehabad APMC,Cotton Wheat,https://www.kisaanhelpline.com/mandi-list/fatehabad,29.5167,75.45
Pune,pune,Pune,Pune,Maharashtra,Pune APMC,Onion Potato Vegetables,https://www.kisaanhelpline.com/mandi-list/pune,18.5204,73.8567
Nagpur,nagpur,Nagpur,Nagpur,Maharashtra,Nagpur APMC,Cotton Soybean Orange,https://www.kisaanhelpline.com/mandi-list/nagpur,21.1458,79.0882
Nashik,nashik,Nashik,Nashik,Maharashtra,Nashik APMC,Onion Grapes,https://www.kisaanhelpline.com/mandi-list/nashik,19.9975,73.7898
Solapur,solapur,Solapur,Solapur,Maharashtra,Solapur APMC,Onion Gram,https://www.kisaanhelpline.com/mandi-list/solapur,17.6599,75.9064
Kolhapur,kolhapur,Kolhapur,Kolhapur,Maharashtra,Kolhapur APMC,Sugarcane Vegetables,https://www.kisaanhelpline.com/mandi-list/kolhapur,16.705,74.2433
Ahmednagar,ahmednagar,Ahmednagar,Ahmednagar,Maharashtra,Ahmednagar APMC,Onion Sugarcane,https://www.kisaanhelpline.com/mandi-list/ahmednagar,19.0948,74.748
Akola,akola,Akola,Akola,Maharashtra,Akola APMC,Cotton Soybean,https://www.kisaanhelpline.com/mandi-list/akola,20.7,77.0
Amravati,amravati,Amravati,Amravati,Maharashtra,Amravati APMC,Cotton Soybean Orange,https://www.kisaanhelpline.com/mandi-list/amravati,20.932,77.7523
Jalgaon,jalgaon,Jalgaon,Jalgaon,Maharashtra,Jalgaon APMC,Banana Cotton,https://www.kisaanhelpline.com/mandi-list/jalgaon,21.01,75.56
Sangli,sangli,Sangli,Sangli,Maharashtra,Sangli APMC,Sugarcane Grapes,https://www.kisaanhelpline.com/mandi-list/sangli,16.8524,74.5815
Satara,satara,Satara,Satara,Maharashtra,Satara APMC,Vegetables Potato,https://www.kisaanhelpline.com/mandi-list/satara,17.68,74.02
Latur,latur,Latur,Latur,Maharashtra,Latur APMC,Gram Soybean,https://www.kisaanhelpline.com/mandi-list/latur,18.4,76.56
Nanded,nanded,Nanded,Nanded,Maharashtra,Nanded APMC,Cotton Soybean,https://www.kisaanhelpline.com/mandi-list/nanded,19.15,77.33
Yavatmal,yavatmal,Yavatmal,Yavatmal,Maharashtra,Yavatmal APMC,Cotton Soybean,https://www.kisaanhelpline.com/mandi-list/yavatmal,20.4,78.12
Ahmedabad,ahmedabad,Ahmedabad,Ahmedabad,Gujarat,Ahmedabad APMC,Groundnut Cotton Cumin,https://www.kisaanhelpline.com/mandi-list/ahmedabad,23.0225,72.5714
Surat,surat,Surat,Surat,Gujarat,Surat APMC,Sugarcane Cotton,https://www.kisaanhelpline.com/mandi-list/surat,21.1702,72.8311
Vadodara,vadodara,Vadodara,Vadodara,Gujarat,Vadodara APMC,Cotton Groundnut,https://www.kisaanhelpline.com/mandi-list/vadodara,22.3072,73.1812
Rajkot,rajkot,Rajkot,Rajkot,Gujarat,Rajkot APMC,Groundnut Cotton,https://www.kisaanhelpline.com/mandi-list/rajkot,22.3039,70.8022
Bhavnagar,bhavnagar,Bhavnagar,Bhavnagar,Gujarat,Bhavnagar APMC,Cotton Groundnut,https://www.kisaanhelpline.com/mandi-list/bhavnagar,21.7645,72.1519
Jamnagar,jamnagar,Jamnagar,Jamnagar,Gujarat,Jamnagar APMC,Groundnut Cotton,https://www.kisaanhelpline.com/mandi-list/jamnagar,22.4707,70.0577
Junagadh,junagadh,Junagadh,Junagadh,Gujarat,Junagadh APMC,Groundnut Mango,https://www.kisaanhelpline.com/mandi-list/junagadh,21.5222,70.4579
Anand,anand,Anand,Anand,Gujarat,Anand APMC,Tobacco Cotton,https://www.kisaanhelpline.com/mandi-list/anand,22.5645,72.9289
Bharuch,bharuch,Bharuch,Bharuch,Gujarat,Bharuch APMC,Cotton Banana,https://www.kisaanhelpline.com/mandi-list/bharuch,21.7051,72.9959
Mehsana,mehsana,Mehsana,Mehsana,Gujarat,Mehsana APMC,Cumin Potato,https://www.kisaanhelpline.com/mandi-list/mehsana,23.588,72.3693
Amreli,amreli,Amreli,Amreli,Gujarat,Amreli APMC,Groundnut Cotton,https://www.kisaanhelpline.com/mandi-list/amreli,21.6,71.22
Dahod,dahod,Dahod,Dahod,Gujarat,Dahod APMC,Maize Cotton,https://www.kisaanhelpline.com/mandi-list/dahod,22.84,74.25
Gondal,gondal,Gondal,Rajkot,Gujarat,Gondal APMC,Groundnut Cotton,https://www.kisaanhelpline.com/mandi-list/gondal,21.96,70.79
Unjha,unjha,Unjha,Mehsana,Gujarat,Unjha APMC,Cumin Fennel Isabgol,https://www.kisaanhelpline.com/mandi-list/unjha,23.8,72.4
Hyderabad,hyderabad,Hyderabad,Hyderabad,Telangana,Hyderabad APMC,Rice Pulses,https://www.kisaanhelpline.com/mandi-list/hyderabad,17.385,78.4867
Warangal,warangal,Warangal,Warangal,Telangana,Warangal APMC,Rice Cotton,https://www.kisaanhelpline.com/mandi-list/warangal,17.9784,79.5941
Guntur,guntur,Guntur,Guntur,Andhra Pradesh,Guntur APMC,Chilli Cotton Rice,https://www.kisaanhelpline.com/mandi-list/guntur,16.3067,80.4365
Vijayawada,vijayawada,Vijayawada,Krishna,Andhra Pradesh,Vijayawada APMC,Rice Pulses,https://www.kisaanhelpline.com/mandi-list/vijayawada,16.5062,80.648
Anantapur,anantapur,Anantapur,Anantapur,Andhra Pradesh,Anantapur APMC,Groundnut Rice,https://www.kisaanhelpline.com/mandi-list/anantapur,14.6819,77.6006
Kurnool,kurnool,Kurnool,Kurnool,Andhra Pradesh,Kurnool APMC,Cotton Groundnut,https://www.kisaanhelpline.com/mandi-list/kurnool,15.8281,78.0373
Nellore,nellore,Nellore,Nellore,Andhra Pradesh,Nellore APMC,Rice Groundnut,https://www.kisaanhelpline.com/mandi-list/nellore,14.4426,79.9865
Chennai,chennai,Chennai,Chennai,Tamil Nadu,Chennai APMC,Rice Vegetables,https://www.kisaanhelpline.com/mandi-list/chennai,13.0827,80.2707
Coimbatore,coimbatore,Coimbatore,Coimbatore,Tamil Nadu,Coimbatore APMC,Cotton Vegetables,https://www.kisaanhelpline.com/mandi-list/coimbatore,11.0168,76.9558
Madurai,madurai,Madurai,Madurai,Tamil Nadu,Madurai APMC,Rice Banana,https://www.kisaanhelpline.com/mandi-list/madurai,9.9252,78.1198
Salem,salem,Salem,Salem,Tamil Nadu,Salem APMC,Rice Turmeric,https://www.kisaanhelpline.com/mandi-list/salem,11.6643,78.146
Kochi,kochi,Kochi,Ernakulam,Kerala,Kochi APMC,Coconut Spices,https://www.kisaanhelpline.com/mandi-list/kochi,9.9312,76.2673
Patna,patna,Patna,Patna,Bihar,Patna APMC,Rice Wheat Maize,https://www.kisaanhelpline.com/mandi-list/patna,25.5941,85.1376
Gaya,gaya,Gaya,Gaya,Bihar,Gaya APMC,Rice Wheat,https://www.kisaanhelpline.com/mandi-list/gaya,24.7955,85.0002
Muzaffarpur,muzaffarpur,Muzaffarpur,Muzaffarpur,Bihar,Muzaffarpur APMC,Litchi Maize Wheat,https://www.kisaanhelpline.com/mandi-list/muzaffarpur,26.1225,85.3906
Kolkata,kolkata,Kolkata,Kolkata,West Bengal,Kolkata APMC,Rice Potato Vegetables,https://www.kisaanhelpline.com/mandi-list/kolkata,22.5726,88.3639
Siliguri,siliguri,Siliguri,Darjeeling,West Bengal,Siliguri APMC,Tea Potato,https://www.kisaanhelpline.com/mandi-list/siliguri,26.7271,88.3953
Ranchi,ranchi,Ranchi,Ranchi,Jharkhand,Ranchi APMC,Rice Vegetables,https://www.kisaanhelpline.com/mandi-list/ranchi,23.3441,85.3096
Jamshedpur,jamshedpur,Jamshedpur,East Singhbhum,Jharkhand,Jamshedpur APMC,Rice Vegetables,https://www.kisaanhelpline.com/mandi-list/jamshedpur,22.8046,86.2029
Bhubaneswar,bhubaneswar,Bhubaneswar,Khordha,Odisha,Bhubaneswar APMC,Rice Vegetables,https://www.kisaanhelpline.com/mandi-list/bhubaneswar,20.2961,85.8245
Cuttack,cuttack,Cuttack,Cuttack,Odisha,Cuttack APMC,Rice Vegetables,https://www.kisaanhelpline.com/mandi-list/cuttack,20.4625,85.8828
Raipur,raipur,Raipur,Raipur,Chhattisgarh,Raipur APMC,Rice Pulses,https://www.kisaanhelpline.com/mandi-list/raipur,21.2514,81.6296
Bilaspur,bilaspur,Bilaspur,Bilaspur,Chhattisgarh,Bilaspur APMC,Rice Pulses,https://www.kisaanhelpline.com/mandi-list/bilaspur,22.0797,82.1409
Guwahati,guwahati,Guwahati,Kamrup,Assam,Guwahati APMC,Rice Tea Vegetables,https://www.kisaanhelpline.com/mandi-list/guwahati,26.1445,91.7362
Dibrugarh,dibrugarh,Dibrugarh,Dibrugarh,Assam,Dibrugarh APMC,Tea Rice,https://www.kisaanhelpline.com/mandi-list/dibrugarh,27.48,95.0
Azadpur,azadpur,Azadpur,North Delhi,Delhi,Azadpur Mandi,Vegetables Fruits Onion,https://www.kisaanhelpline.com/mandi-list/azadpur,28.7041,77.1025
Narela,narela,Narela,North Delhi,Delhi,Narela Mandi,Wheat Vegetables,https://www.kisaanhelpline.com/mandi-list/narela,28.8528,77.0925
Panaji,panaji,Panaji,North Goa,Goa,Panaji APMC,Vegetables Fruits,https://www.kisaanhelpline.com/mandi-list/panaji,15.4989,73.8278
Jammu,jammu,Jammu,Jammu,Jammu and Kashmir,Jammu APMC,Rice Wheat Apple,https://www.kisaanhelpline.com/mandi-list/jammu,32.7266,74.857
Srinagar,srinagar,Srinagar,Srinagar,Jammu and Kashmir,Srinagar APMC,Apple Saffron,https://www.kisaanhelpline.com/mandi-list/srinagar,34.0837,74.7973
Shimla,shimla,Shimla,Shimla,Himachal Pradesh,Shimla APMC,Apple Vegetables,https://www.kisaanhelpline.com/mandi-list/shimla,31.1048,77.1734
Kullu,kullu,Kullu,Kullu,Himachal Pradesh,Kullu APMC,Apple Vegetables,https://www.kisaanhelpline.com/mandi-list/kullu,31.9579,77.1092
Dehradun,dehradun,Dehradun,Dehradun,Uttarakhand,Dehradun APMC,Rice Wheat Vegetables,https://www.kisaanhelpline.com/mandi-list/dehradun,30.3165,78.0322
Haridwar,haridwar,Haridwar,Haridwar,Uttarakhand,Haridwar APMC,Rice Wheat,https://www.kisaanhelpline.com/mandi-list/haridwar,29.9457,78.1642
